stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
CIEINDIA,473.65,0.005342246465311658,280.21306855848735,242.07808798829473,True,False,0,17.22795964041328,116,54943.399999999994,3383800.4
IDFC,115.5,0.005044625007671529,252.95001202307077,241.17921667506747,True,False,0,2.8059708291990364,712,82236.0,3466036.4
PEL,1072.95,0.005123522684093751,259.9808577110416,238.47521770905186,True,False,0,27.11416077183629,73,78325.35,3544361.75
RECLTD,193.7,0.005036216392111425,252.20883608817962,236.68146086616812,True,False,0,3.93088846613915,508,98399.59999999999,3642761.35
CREDITACC,1395.0,0.005175710376883323,264.7082723630166,234.73336388252656,True,False,0,45.07963963747401,44,61380.0,3704141.35
LUPIN,975.0,0.00483327088218207,234.78478968456375,230.33738957966762,True,False,0,17.1575187474504,116,113100.0,3817241.35
IRCON,93.1,0.00567001355015829,312.680453657503,229.39676266359874,True,False,0,3.2106861869298613,622,57908.2,3875149.5500000003
GODREJPROP,1750.0,0.005036279039600748,252.2143523812097,228.7741113908627,True,False,0,38.482212107210465,51,89250.0,3964399.5500000003
EQUITASBNK,98.35,0.004907302991061075,241.03869085103008,226.45100595453144,True,False,0,2.8498174480083915,701,68943.34999999999,4033342.9000000004
BSOFT,415.0,0.005020336363626812,250.81333640547635,225.3679678548455,True,False,0,9.773015953229043,204,84660.0,4118002.9000000004
CENTURYTEX,1023.8,0.004918769614483366,242.0177340306111,220.35431159107196,True,False,0,26.62697753440456,75,76785.0,4194787.9
